Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/07,KOTA RAJA,SEKOLAH AGAMA MENENGAH TINGGI SULTAN HISAMUDDIN,3,244,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,148,UMNO,LOKMAN NOOR BIN ADAM,94,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,242,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/07,KOTA RAJA,SEKOLAH AGAMA MENENGAH TINGGI SULTAN HISAMUDDIN,4,247,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,170,UMNO,LOKMAN NOOR BIN ADAM,77,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,247,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/07,KOTA RAJA,SEKOLAH AGAMA MENENGAH TINGGI SULTAN HISAMUDDIN,5,215,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,163,UMNO,LOKMAN NOOR BIN ADAM,52,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,215,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/07,KOTA RAJA,SEKOLAH AGAMA MENENGAH TINGGI SULTAN HISAMUDDIN,6,188,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,139,UMNO,LOKMAN NOOR BIN ADAM,47,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,187,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/07,KOTA RAJA,SEKOLAH AGAMA MENENGAH TINGGI SULTAN HISAMUDDIN,7,180,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,120,UMNO,LOKMAN NOOR BIN ADAM,60,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,180,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,1,215,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,154,UMNO,LOKMAN NOOR BIN ADAM,53,BEBAS - PEN,MURTHY A/L KRISHNASAMY,7,214,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,2,218,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,148,UMNO,LOKMAN NOOR BIN ADAM,70,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,218,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,3,207,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,151,UMNO,LOKMAN NOOR BIN ADAM,54,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,206,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,4,311,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,237,UMNO,LOKMAN NOOR BIN ADAM,72,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,310,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,5,286,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,219,UMNO,LOKMAN NOOR BIN ADAM,63,BEBAS - PEN,MURTHY A/L KRISHNASAMY,4,286,0,0
